Title,Text,Date
Giá điện tăng 3% tác động gì đến CPI? Thị trường 8/5,Theo Dong HaiInvesting.com – Thị trường Việt Nam trong phiên giao dịch hôm nay có một số tin tức đáng chú ý: Giá điện tăng 3% tác động gì đến CPI? Nợ xấu ngân hàng đồng loạt tăng mạnh trong quý I và...,08/05/2023
S&P 500 gần như đi ngang," Vietstock - S&P 500 gần như đi ngangChỉ số S&P 500 khép phiên gần như đi ngang vào ngày thứ Hai (08/5), khi nhà đầu tư chờ đợi số liệu lạm phát quan trọng, bao gồm báo cáo chỉ số giá tiêu dùng CPI...",09/05/2023
Vàng thế giới tăng nhẹ chờ báo cáo lạm phát của Mỹ, Vietstock - Vàng thế giới tăng nhẹ chờ báo cáo lạm phát của MỹGiá vàng tăng nhẹ vào ngày thứ Hai (08/5) trước khi dữ liệu lạm phát công bố trong tuần này có thể cung cấp manh mối về triển vọng lãi...,09/05/2023
08/05: Đọc gì trước giờ giao dịch chứng khoán? , Vietstock - 08/05: Đọc gì trước giờ giao dịch chứng khoán? Điểm lại những tin tức nổi bật cuối tuần vừa qua.* Warren Buffett dự đoán lợi nhuận giảm ở nhiều mảng của Berkshire. Trong ĐHĐCĐ thường niên...,08/05/2023
"Mirae Asset: Giá điện tăng 3%, ảnh hưởng thế nào?"," Vietstock - Mirae Asset: Giá điện tăng 3%, ảnh hưởng thế nào?Trong báo cáo cập nhật ngành điện mới công bố, Mirae Asset dẫn lời Tiến sĩ Nguyễn Bích Lâm, nguyên Tổng cục trưởng Tổng cục Thống kê (Bộ...",05/05/2023
Bộ trưởng Bộ Kế hoạch & Đầu tư: Nhiều lĩnh vực đã có tín hiệu và xu hướng tích cực hơn," Vietstock - Bộ trưởng Bộ Kế hoạch & Đầu tư: Nhiều lĩnh vực đã có tín hiệu và xu hướng tích cực hơnNgày 5/5, tại phiên họp Chính phủ thường kỳ tháng 4/2023, Bộ trưởng Bộ Kế hoạch và Đầu tư Nguyễn Chí...",05/05/2023
"Giá điện tăng thêm 3% - Áp lực đè nặng lên nhóm hoá chất, thép, xi măng…"," Trong báo cáo mới cập nhật, Mirae Asset ước tính lợi nhuận nhóm doanh nghiệp xi măng, thép có thể giảm đến 15% do sự điều chỉnh giá điện thúc đẩy giá vốn tăng cao. Hôm nay (ngày 4/5), Tập đoàn Điện...",04/05/2023
Lãnh đạo EVN nói gì về việc tăng giá bán lẻ điện bình quân?," Vietstock - Lãnh đạo EVN nói gì về việc tăng giá bán lẻ điện bình quân?“Tăng giá điện chỉ là một trong các giải pháp giảm thiểu khó khăn tài chính của Tập đoàn”, ông Nguyễn Xuân Nam, Phó Tổng giám...",04/05/2023
Chờ đợi thêm giải pháp nới lỏng tiền tệ," Vietstock - Chờ đợi thêm giải pháp nới lỏng tiền tệNếu đã thật sự rơi vào suy thoái có thể phải cần nhiều nguồn lực hơn để vực dậy nền kinh tế, cũng như cần nhiều thời gian hơn trước khi các chính...",04/05/2023
Chính sách tiền tệ của Trung Quốc và tác động đến các nền kinh tế láng giềng," Vietstock - Chính sách tiền tệ của Trung Quốc và tác động đến các nền kinh tế láng giềngTrung Quốc là đối tác thương mại lớn của các nước ASEAN, nhất là Việt Nam. Các chính sách kinh tế của Trung...",04/05/2023
"4 tháng đầu năm 2023, CPI tăng 3.84% so với cùng kỳ năm trước; lạm phát cơ bản tăng 4.9%"," Vietstock - 4 tháng đầu năm 2023, CPI tăng 3.84% so với cùng kỳ năm trước; lạm phát cơ bản tăng 4.9%Giá thực phẩm giảm do nguồn cung dồi dào, học phí tại một số địa phương được điều chỉnh theo Nghị...",29/04/2023
5 câu hỏi cho sếp Digiworld trước thềm ĐHĐCĐ, Đại hội đồng cổ đông thường niên đang đến gần và  Digiworld  đang đứng trước những thách thức và cơ hội kinh doanh mới trong năm 2023. CTCP Thế giới số (Digiworld – Mã: DGW (HM:DGW)) công bố tài liệu...,24/04/2023
"CPI tháng 6 của Trung Quốc bằng với mức kì vọng, PPI không thay đổi","Investing.com - Chỉ số giá tiêu dùng (CPI) của Trung Quốc trong tháng 6 tăng bằng với mức kỳ vọng, trong khi Chỉ số giá sản xuất (PPI) không thay đổi so với một...",10/07/2019
Forex - Đồng Đô la tăng giá; Đồng Yên được chú ý do CPI Nhật Bản giảm,Investing.com - Đồng Đô la tăng giá so với các đồng tiền châu Á lớn khác vào sáng thứ Sáu. Dữ liệu lạm phát của Nhật Bản được quan...,20/04/2018
"PPI Trung Quốc tháng 6 cao hơn dự kiến; CPI tăng 1.9%, như dự báo","Investing.com - CPI theo năm của Trung Quốc tăng 1.9% trong tháng 6, bằng với mức đã dự báo, trong khi PPI tăng 4.7% trong tháng 6, cao hơn dự kiến ở mức 4.5%. Các...",10/07/2018
"Chứng khoán Châu Á tăng điểm; Trung Quốc công bố PPI, CPI","Investing.com - Chứng khoán châu Á tăng điểm trong phiên giao dịch sáng thứ 5 sau khi Wall Street đóng của tích cực, trong khi dữ liệu chỉ số giá...",10/05/2018
"Chứng khoán Châu Á bất ổn; CPI Nhật bản, đàm phán Mỹ - Trung gây chú ý",Investing.com - Chứng khoán châu Á bất ổn vào giờ giao dịch chiều thứ Sáu khi nhà đầu tư nhận thông tin Chính phủ Trung Quốc đề xuất mức cắt giảm...,18/05/2018
Forex - Đồng Nhân dân tệ giảm do chỉ số CPI yếu; Đồng USD tăng,Investing.com - Đồng nhân dân tệ giảm so với đồng đô la Mỹ trong phiên giao dịch hôm nay trên thị trường châu Á sau khi dữ liệu cho thấy Chỉ số...,15/02/2019
"Forex - Đồng Yên ít thay đổi sau dữ liệu về CPI, Đôla tăng giá","Investing.com - Đồng Yên Nhật ít thay đổi với dữ liệu CPI được công bố hôm thứ Sáu, ở mức cao nhất trong 7 tháng qua. Đồng USD tăng nhưng vẫn gần mức thấp nhất 2...",21/09/2018
Forex - Đồng USD giảm sau thông tin từ Fed; CPI Trung Quốc được quan tâm,Investing.com - Đồng Đô la Mỹ giảm vào thứ Năm trên thị trường châu Á sau khi Cục Dự trữ Liên bang chỉ ra trong biên bản cuộc họp tháng 12 rằng họ...,10/01/2019
Lạm phát sản xuất của Trung Quốc chững lại; CPI giảm từ mức cao nhất 4 năm,"Investing.com - Chỉ số giá sản xuất (PPI) của Trung Quốc đã chững lại trong tháng thứ năm, trong khi chỉ số CPI đã giảm từ mức cao nhất trong 4 năm, theo dữ liệu công...",11/04/2018
Giá dầu tăng mặc dù chỉ số CPI của Trung Quốc và dữ liệu bán lẻ của Mỹ đều thấp,"Investing.com - Giá dầu tăng vào thứ Sáu ở châu Á sau sự suy giảm của dữ liệu bán lẻ yếu của Hoa Kỳ.
Doanh số bán lẻ của Hoa Kỳ đã giảm 1,2%...",15/02/2019
Đôla Úc giảm xuống mức thấp nhất 6 tuần do chỉ số CPI thấp hơn dự kiến,Investing.com - Đồng Đôla Úc đã giảm xuống mức thấp gần sáu tuần vào thứ Tư tại châu Á sau khi nước này công bố dữ liệu CPI thấp hơn dự...,24/04/2019
Forex - Đồng Đô la giảm do chỉ số Fed Philly suy yếu; CPI Nhật Bản cao hơn dự kiến,"Investing.com - Đồng Đô la giảm mạnh từ mức cao trong 11 tháng trong phiên giao dịch sáng nay trên thị trường Châu Á, khi các nhà phân...",22/06/2018
Chứng khoán châu Á không đồng nhất; CPI tháng 6 của Trung Quốc bằng mức kì vọng,Investing.com - Thị trường châu Á không đồng nhất trong phiên giao dịch buổi sáng thứ Tư. Chứng khoán Trung Quốc ít thay đổi sau khi nước này...,10/07/2019
Chứng khoán châu Á không ổn định; CPI và PPI của Trung Quốc thu hút chú ý,"Investing.com - Chứng khoán châu Á không ổn định vào chiều thứ Ba. Khi lo lắng về chiến tranh thương mại giảm bớt, thị trường tập trung sự chú ý...",10/07/2018
Forex - Đồng Đô la giảm tử mức cao mới trong bối cảnh lạm phát suy giảm,"Investing.com - Đồng Đô la giảm từ mức cao trong năm nay sau khi Hoa Kỳ công bố dữ liệu CPI đáng thất vọng, nhưng tăng nhẹ so với một giỏ sáu đồng tiền chính...",11/05/2018
Giá vàng giảm khi Đô la ổn định,"Investing.com - Giá vàng giảm vào thứ Ba khi Đô la ổn định trước khi Mỹ công bố dữ liệu lạm phát (PPI và CPI) vào thứ Tư.
Vàng giao...",08/05/2018
Forex - Đô la vững mức cao nhất 4 tháng; Lợi suất trái phiếu lên 3%,Investing.com - Đô la đứng vững so với các loại tiền tệ chính ở Châu Á vào thứ Năm khi lợi suất trái phiếu 10 năm của ko bạc Mỹ cao hơn mức 3% trong thứ...,10/05/2018
Giá vàng giảm khi đồng Đô la giữ ở mức ổn định sau dữ liệu lạm phát,Investing.com - Giá vàng giảm trong phiên giao dịch ngày thứ Sáu khi đồng Đô la tăng trở lại sau một cú giảm do chỉ số CPI đáng thất vọng của Hoa...,11/05/2018
"Forex - Hỗ trợ bởi lợi suất, Đôla ở quanh mức cao nhất 5 tháng","Investing.com - Đôla ở trên mức 93, quanh mức cao nhất 5 tháng tại Châu Á vào sáng thứ Sáu, sau khi đạt mức cao mới 93.46 qua đêm. Nhật bản...",18/05/2018
"Thị trường châu Á giảm, ông Mnuchin cho biết cuộc họp với Trung Quốc sẽ diễn ra",Investing.com - Các thị trường châu Á giảm trong phiên giao dịch sáng thứ Năm khi các nhà đầu tư phản ứng với những diễn biến mới nhất trong cuộc chiến...,29/08/2019
Đồng Đô la Mỹ ít thay đổi trước cuộc họp của Fed; Anh bầu cử sớm vào tháng 12,Investing.com - Đô la Mỹ ít thay đổi vào thứ Tư ở châu Á khi các nhà đầu tư chờ đợi quyết định chính sách của Cục Dự trữ Liên bang...,30/10/2019
"Forex - Đôla tăng giá so với Euro, Bảng; ECB và BoE được chú ý",Investing.com - Đồng Đôla tăng so với đồng Euro và đồng Bảng Anh vào thứ Năm khi nhà đầu tư chờ đợi các quyết định về lãi suất của Ngân hàng Trung...,13/09/2018
Đồng Đô la Mỹ ít thay đổi; diễn biến thương mại và phát biểu của Powell được chú ý,Investing.com - Đồng Đô la Mỹ ít thay đổi vào thứ Hai ở châu Á. Diễn biến thương mại giữa Hoa Kỳ và Trung Quốc và bài phát biểu của Chủ...,11/11/2019
Chứng khoán Châu Á không đồng nhất; dữ liệu của Trung Quốc được chú ý,Investing.com - Chứng khoán châu Á không đồng nhất trong phiên chiều thứ Ba. Dữ liệu chính thức hôm thứ Ba cho thấy CPI của Trung Quốc trong tháng 9...,16/10/2018
Đô la Mỹ vẫn trên đà giảm dù căng thẳng thương mại Trung – Mỹ đã được hóa giải,Investing.com - Giá Đô la giảm nhẹ trên thị trường châu Á trong phiên giao dịch sáng thứ Tư mặc dù đã có những bình luận từ...,11/04/2018
5 điều cần biết về thị trường vào ngày thứ Sáu,"Investing.com – Dưới đây là 5 điều cần biết về thị trường trong ngày thứ Sáu, 10 tháng 8:
1. Căng thẳng chính trị tại Thổ Nhĩ Kỳ đẩy đồng Lira xuống mức...",10/08/2018
5 điều cần biết về thị trường trước phiên Mỹ vào ngày thứ Sáu,"Investing.com - Dưới đây là năm điều bạn cần biết về thị trường vào thứ Sáu, ngày 10 tháng 5:
1. Thuế quan đối với hàng hóa của Trung Quốc...",10/05/2019
Forex - Đôla phục hồi ngay cả khi căng thẳng gia tăng giữa Mỹ - Bắc Triều Tiên,Investing.com - Đông Đôla tăng so với các đồng tiền chính ở châu Á vào sáng thứ Sáu với USD index kiểm tra mức 94. Thị trường nhận...,25/05/2018
Forex – Đồng Nhân dân tệ giảm với những lo ngại mới về thương mại,Investing.com - Đồng Nhân dân tệ của Trung Quốc giảm giá so với đồng Đô la Mỹ vào thứ Ba ở châu Á sau khi một báo cáo của Bloomberg...,15/10/2019
5 điều cần biết về thị trường vào ngày thứ Tư,"Investing.com - Chủ tịch Cục Dự trữ Liên bang Hoa Kỳ, Jerome Powell, sẽ điều trần trước Quốc hội trong bối cảnh những bất ổn thương mại mới lộ diện sau khi Tổng thống Hoa Kỳ Donald Trump...",13/11/2019
"Chứng khoán châu Á giảm nhẹ, Chỉ số Nikkei giảm do đồng Yên được củng cố","
Investing.com - Chứng khoán châu Á giảm trong phiên giao dịch sáng thứ Hai, chỉ số  Nikkei 225 của Nhật Bản giao dịch thấp hơn các chỉ số khác trong...",23/07/2018
Forex  - Đô la giữ ở mức cao nhất 4 tháng. Đô la Úc giảm với dữ liệu bán lẻ,Investing.com – Đô la tăng giá so với các đồng tiền chính tại châu Á vào sáng thứ 3 sau khi đã lập đỉnh vào đêm....,08/05/2018
Chứng khoán châu Á tăng điểm sau phiên giao dịch tích cực trên phố Wall,"Investing.com - Chứng khoán châu Á tăng điểm trong phiên giao dịch sáng thứ Năm sau phiên giao dịch tích cực trên phố Wall.
Qua đêm, chỉ số...",10/05/2018
Forex - Đôla giảm; Đôla Úc tăng với hỗ trợ từ dữ liệu tích cực của Trung Quốc,Investing.com - Đôla giảm nhẹ so với các đồng tiền chính hôm thứ Ba tại Châu Á. Chỉ số sản lượng công nghiệp của Trung Quốc gây chú ý...,15/05/2018
Chứng khoán Châu Á biến động nhẹ sau trong bối cảnh thiếu các động lực thị trường,"Investing.com -  Chứng khoán Châu Á biến động nhẹ trong phiên giao dịch sáng thứ Tư khi chưa xác định được động lực dẫn dắt thị trường
Chiều qua, chỉ số Dow...",11/04/2018
Năm điều hàng đầu bạn cần biết trên thị trường tài chính vào Thứ Tư,"Investing.com - Dưới đây là năm điều hàng đầu bạn cần biết trên thị trường tài chính vào Thứ Tư, ngày 13 tháng 2:
1. Gợi ý của...",13/02/2019
Forex – Triển vọng thị trường tuần từ 18 – 22 tháng 11,Investing.com - Biên bản cuộc họp chính sách tiền tệ của Cục Dự trữ Liên bang và Ngân hàng Trung ương châu Âu sẽ đươc chú ý...,18/11/2019
Forex – Tình hình thị trường trong tuần 25 – 29 tháng 11,Investing.com - Sự không chắc chắn kéo dài về triển vọng của một thỏa thuận thương mại Hoa Kỳ-Trung Quốc có vẻ sẽ khiến các nhà đầu tư không thể...,25/11/2019
Giá vàng giảm mặc dù đồng Đô la đã giảm nhẹ,"Investing.com - Hôm nay, giá vàng giảm mặc dù đồng Đô la đã giảm nhẹ khi các nhà đầu tư đánh giá tác động mới nhất trong cuộc...",10/08/2018
Forex - Đô la tăng giá; diễn biến địa chính trị bớt nóng,Investing.com - Đồng đô la mở cửa đầu tuần tăng so với các đồng tiền chính khác khi được hỗ trợ bởi sự gia tăng mạnh lợi suất trái phiếu Kho bạc Hoa Kỳ thứ sáu...,23/04/2018
Forex - Đồng Đô la tăng cao do lãi suất Trái phiếu chính phủ Mỹ tăng cao,Investing.com - Đồng đô la tiếp tục tăng giá vào sáng thứ Ba ở châu Á cùng với mức lãi suất trái phiếu kho bạc Hoa Kỳ đạt mức cao nhất...,24/04/2018
Chứng khoán Châu Á tăng điểm với Dữ liệu thương mại khả quan của Trung Quốc,Investing.com – Chứng khoán Châu Á tiếp tục tăng điểm trong phiên buổi chiều thứ Ba khi dữ liệu về thương mại của Trung Quốc khả quan hơn các dự...,08/05/2018
Forex - Đồng Đô la giảm trong bối cảnh lãi suất của Hoa Kỳ giảm xuống,Investing.com - Đồng Đô la mở cửa tuần giao dịch này với mức giảm nhẹ so với các đồng tiền chính khác trong phiên giao dịch sáng thứ Hai trên thị...,14/05/2018
Chứng khoán châu Á tăng do lạc quan với đàm phán thương mại Mỹ - Trung,Investing.com - Chứng khoán châu Á giao dịch cao hơn trong phiên giao dịch buổi sáng vào thứ Sáu trên các thông tin rằng Bộ trưởng...,18/01/2019
Đồng Đô la vẫn giảm dù dữ liệu lạm phát và tình hình lao động tích cực hơn kỳ vọng,Investing.com - Đồng Đô la giảm giá vào thứ Sáu trong phiên giao dịch Châu Á dù rằng các dữ liệu công bố đêm qua cho thấy...,12/04/2019
Thị trường Châu Á tiếp tục tăng điểm khi nhà đầu tư bớt lo lắng về thương mại,"Investing.com - Thị trường châu Á tăng điểm trong buổi sáng thứ Ba khi các lo ngại về thương mại đã giảm bớt.
Tổng thống Mỹ bình luận hôm thứ Hai rằng...",10/07/2018
Forex - Nhân dân tệ ít thay đổi với dữ liệu thương mại tích cực của tháng 1,Investing.com - Nhân dân tệ Trung Quốc ít thay đổi vào thứ Năm ở châu Á ngay cả sau khi dữ liệu hải quan cho thấy con số về thương mại tốt hơn dự kiến...,14/02/2019
Forex: Triển vọng tuần 11 - 15 tháng 11,Investing.com - Các nhà đầu tư sẽ chú ý đến những bài phát biểu của Tổng thống Hoa Kỳ Donald Trump và Chủ tịch Cục Dự trữ Liên bang Jerome Powell...,11/11/2019
5 điều cần biết về thị trường ngày thứ Tư,"Investing.com - Dưới đây là 5 điều cần biết về thị trường ngày thứ Tư, 12/12:
1. Trump lạc quan về tình hình thương mại
Các nhà đầu tư sẽ tiếp tục...",12/12/2018
Chứng khoán châu Á không đồng nhất; Trung-Mỹ nối lại đàm phán vào tuần tới,Investing.com - Thị trường châu Á không đồng nhất trong phiên giao dịch buổi sáng hôm thứ Tư. Thị trường vẫn đang chú ý đến mối quan hệ thương mại...,24/04/2019
Chứng khoán Châu Á biến động; Lạm phát sản xuất của Trung Quốc chững lại,Investing.com - Chứng khoán Châu Á biến động trong phiên giao dịch buổi sáng hôm thứ Tư khi thị trường đang cố gắng tìm hướng đi. Lạm phát trong...,11/04/2018
Forex - Đồng Đô la ít thay đổi trước bài phát biểu của Powell,Investing.com - Đồng Đô la ít thay đổi vào thứ ba ở châu Á khi kỳ vọng rằng Fed sẽ giảm lãi suất một cách mạnh mẽ đã giảm sau khi Hoa Kỳ...,09/07/2019
Forex - Đồng Đô la giảm nhẹ; Đồng Rub của Nga do lệnh trừng phạt mới lên Moscow,"Investing.com - Đồng Đô la Mỹ giảm nhẹ trong phiên giao dịch hôm nay sau khi tăng trong phiên qua đêm lên mức cao nhất trong vòng 13 tháng, trong khi...",10/08/2018
"Chứng khoán Châu Á tiếp tục giảm, gánh nặng đè lên cổ phiếu ngành công nghệ",Investing.com – Chứng khoán Châu Á tiếp tục đà giảm vào phiên giao dịch chiều ngày thứ Sáu sau khi mở cửa ở mức thấp dưới sức ép...,20/04/2018
Forex - Đô la giảm nhẹ; Ngân hàng Nhật công bố thông tin; Nam Hàn Bắc Hàn gặp gỡ,Investing.com - Đồng Đô la giảm trong phiên giao dịch sáng thứ Sáu mặc dù nó vẫn ở trên mốc 91. Sự quan tâm của thị trường tiền tệ châu...,27/04/2018
Forex – USD ít thay đổi với thông tin về thương mại; Đơn đặt hàng của Đức giảm,Investing.com - Đồng Đô la Mỹ tăng giá so với đồng Nhân dân tệ và giảm giá so với đồng Euro vào đầu phiên giao dịch ngày thứ Hai tại...,07/10/2019
"5 điểm nổi bật của thị trường hôm nay, thứ Tư ngày 12/6","Investing.com - Dưới đây là những điểm nổi bật trên thị trường tài chính hôm nay, thứ Tư ngày 12/6:
1. Cuộc biểu tình ở Hồng Kông
Cảnh...",12/06/2019
5 điều cần biết về thị trường vào ngày thứ Năm,"Investing.com - Dưới đây là 5 điều cần biết về thị trường vào ngày thứ Năm, 13/9:
1. Trung Quốc hoan nghênh đề nghị của Mỹ về đàm phán thương mại
Trung...",13/09/2018
5 điều cần biết về thị trường ngày thứ Tư,"Investing.com - Sau đây là 5 điều bạn cần biết về thị trường ngày thứ Tư, 18 tháng 4.
1. Morgan Stanley, American Express công bố kết quả kinh doanhMorgan Stanley...",18/04/2018
5 điều cần biết về thị trường trước phiên Mỹ ngày thứ Năm,"Investing.com - Các cuộc đàm phán thương mại giữa Hoa Kỳ và Trung Quốc được nối lại, trong khi Thổ Nhĩ Kỳ đưa quân đội vào miền bắc Syria để oanh kính...",10/10/2019
"5 điểm nổi bật của thị trường hôm nay, thứ Sáu ngày 15/02","Investing.com - Dưới đây là những điểm cần quan tâm trên thị trường tài chính hôm nay, thứ Sáu ngày 15/2:
1. Các cuộc đàm...",15/02/2019
5 điểm nổi bật trên thị trường tài chính trước phiên Mỹ vào thứ Tư,"Investing.com - Dưới đây là những điểm nổi bật trên thị trường tài chính hôm nay, thứ Tư ngày 10/4:
1. Biên bản họp của Fed và dữ liệu lạm...",10/04/2019
Lịch kinh tế - 5 điểm nổi bật cần quan tâm trong tuần này,Investing.com - Sự xuất hiện của Tổng thống Hoa Kỳ Donald Trump và Chủ tịch Cục Dự trữ Liên bang Jerome Powell sẽ là tiêu điểm chú ý trong tuần này trong...,11/11/2019
" Nhiều nhóm hàng “hạ nhiệt”, CPI tháng 4 giảm 0,34%","Giá thực phẩm giảm do nguồn cung dồi dào, học phí tại một số địa phương được điều chỉnh là những nguyên nhân chính làm chỉ số giá tiêu dùng tháng 4/2023 giảm 0,34% so với tháng trước...",29/04/2023 10:49
"CPI tháng 4/2023 giảm 0,34% ","Giá thực phẩm giảm do nguồn cung dồi dào, học phí tại một số địa phương được điều chỉnh là những nguyên nhân chính làm chỉ số giá tiêu dùng tháng 4/2023 giảm 0,34% so với tháng trước...",29/04/2023 09:55
"CPI tháng 4/2023 giảm 0,34% ","Giá thực phẩm giảm do nguồn cung dồi dào, học phí tại một số địa phương được điều chỉnh là những nguyên nhân chính làm chỉ số giá tiêu dùng tháng 4/2023 giảm 0,34% so với tháng trước...",29/04/2023 09:55
"Chứng khoán Mỹ tụt điểm vì Fed lo suy thoái kinh tế, giá dầu tăng hơn 2%",Báo cáo CPI đã mang lại chút lạc quan vào buổi sáng. Nhưng tâm lý nhà đầu tư chuyển sang bi quan,13/04/2023 07:46
